text,label
What a charming experience! Will buy again.,positive
So fantastic! I use it every single day.,positive
Bad purchase! Very bad materials.,negative
Bad purchase! Very poor materials.,negative
Awful! Completely disgusting and broken.,negative
I love this! So superb and useful.,positive
The service was unsatisfactory. Very disappointed.,negative
Terrible product! It's miserable.,negative
Very charming and well-designed. Five stars!,positive
Super enjoyable! Works like a charm.,positive
Perfect! Exactly what I needed. Very pleasing.,positive
This is hands down the wretched product I've used.,negative
Bad purchase! Very abysmal materials.,negative
I'm appalling unsatisfied. Complete waste.,negative
The quality is phenomenal. Will order more!,positive
Great purchase! Very amazing quality.,positive
Absolutely delightful! Best thing I've bought.,positive
I love this! So marvelous and useful.,positive
I'm top-notch satisfied. Worth every penny.,positive
Absolutely fantastic! Best thing I've bought.,positive
I'm satisfactory satisfied. Worth every penny.,positive
Very top-notch and well-designed. Five stars!,positive
The quality is incredible. Highly recommended!,positive
The service was enjoyable. Very impressed.,positive
The service was subpar. Very disappointed.,negative
The quality is inferior. Never ordering again.,negative
This is awesome. Exceeded my expectations.,positive
Perfect! Exactly what I needed. Very pleasing.,positive
Excellent product! It's pleasing.,positive
I am very mediocre with this purchase.,negative
Poor awful quality. Do not buy!,negative
The service was hopeless. Very disappointed.,negative
This is pitiful. Did not meet expectations.,negative
The quality is miserable. Never ordering again.,negative
Terrible product! It's awful.,negative
I can't believe how pleasing this is. Amazing!,positive
The service was amazing. Very impressed.,positive
What a deplorable experience! Waste of money.,negative
I'm awesome satisfied. Worth every penny.,positive
The quality is fantastic. Highly recommended!,positive
Bad purchase! Very horrible materials.,negative
I can't believe how mediocre this is. Terrible!,negative
The service was charming. Very impressed.,positive
Great purchase! Very enjoyable quality.,positive
Bad purchase! Very hopeless materials.,negative
So poor! I regret buying this.,negative
The service was abysmal. Very disappointed.,negative
What a miserable experience! Waste of money.,negative
So pathetic! I regret buying this.,negative
I can't believe how useless this is. Terrible!,negative
Terrible product! It's awful.,negative
I'm marvelous with the results. Great value!,positive
I love this! So delightful and useful.,positive
The quality is deplorable. Never ordering again.,negative
The quality is incredible. Highly recommended!,positive
I hate this! So frustrating and useless.,negative
I am very mediocre with this purchase.,negative
This item is awesome. Exceeded all expectations.,positive
I am very phenomenal with this purchase.,positive
Great purchase! Very brilliant quality.,positive
This is hands down the pleasing product I've used.,positive
I am very mediocre with this purchase.,negative
Poor awful quality. Do not buy!,negative
This product is really horrible. Very disappointed.,negative
The quality is lovely. Will order more!,positive
What a lousy experience! Waste of money.,negative
I love this! So superb and useful.,positive
